,premise,hypothesis,label,aug_type
247569,A lone kayaker sits on the water at sunset with his paddle resting across his boat.,A lone kayaker sits on the water at sunset with his boat paddle resting across his boat.,2,synonym_w2v
450806,A brown and a black dog are running.,Still running.,0,bert_replacement
376713,"A big, mitjana edat, in a red dress with white polka dots, singing to a microphone.",A glaring girl in a bathing suit.,2,back_translation
25933,A woman in a blue jacket taking a picture of a statue.,The woman is wearing a t-shirt.,2,bert_replacement
224216,A man without a shirt captures a football,A man picks up a ball.,0,back_translation
83993,Women blond in a white dress assied on awood blanked walkway with a green lined background.,a pose of the woman for her photo,1,back_translation
209597,A hiker in a blue jacket and a chapel uses his walking stick to help him lower the rocks.,A hiker goes down a mountain.,1,back_translation
480822,A priest performs religious ceremonies in a colorful backdrop that includes a statue and various religious objects.,A priest is running.,2,bert_replacement
372833,"two young men playing basketball, while one defending himself the other when attempting to make me a basket.",Two young men are playing hockey one is trying to score while the other is trying to prevent a score.,2,bert_insertion
103832,A woman in a race is running past people.,A woman maintains her pace in race.,0,bert_replacement
252528,A group of people standing outside with a woman with blue hair.,People standing outside with a woman with blue hair.,0,bert_replacement
85225,also a shot occurs of chasing bicyclists in front a race with the background blurred by their speed.,Bicyclists moving so quickly trying to beat each other to the finish line,1,bert_insertion
103514,A hairy white cane sedang walking on the leaves with the quenching lenga.,A white cane walks soberly on the leaves.,0,back_translation
129793,then a cowboy is almost falling off a high bull rope and looks like he might get trampled.,The cowboy is at a rodeo.,1,bert_insertion
378078,A nestling is jumping on a trampoline in front of a brick wall and below colored flags.,A child is driving a go-kart.,2,synonym_w2v
263360,Three guys play football.,You guys play.,0,back_translation
304549,Two brown-skinned people with headgear examine papers.,two brown - skinned people approached with free headgear to examine papers.,2,bert_insertion
500758,A young child smile while on a vacillation at a playground.,A young child smiles in the playground.,0,synonym_w2v
210770,A group of people wearing stop signs run through a stream.,People are competing in a stop.,0,bert_replacement
385041,"A sushi restaurant with a man who cooks while in the background, a man and a boy are sitting at a table.",Two people dance on a restaurant table.,2,back_translation
514539,This photo is a combination of ancient times and current days.,This photo is a selfie taken in,2,back_translation
118807,Three people walking down the street with an odd photo effect.,Ternion people walking consume the street with an odd photo issue.,0,synonym_w2v
325211,People watch as a person slides down a mountain.,The people are observing the skiers.,0,bert_replacement
